Name;Name of the plant;Used plant parts;Type of preparation;Function(s) of this ingredient in cosmetic products;Origin;Belongs to the following substance groups;Background information on use in cosmetics;Substance information;Name / description;Occurrence in cosmetics;Occurrence in other products;Further information;Url
VANILLA PLANIFOLIA SEED POWDER;"Bourbon Vanilla; Mexican Vanilla; Vanilla";Seeds (kernels);Powder (flour);Removes dental plaque or dirt from the skin surface through a grinding / polishing effect;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/16817/vanilla-planifolia-seed-powder/
VANILLA PLANIFOLIA TINCTURE;"Bourbon Vanilla; Mexican Vanilla; Vanilla";;;Part of perfume oils and / or flavours;;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";;;;;;https://cosmileeurope.eu/inci/detail/27009/vanilla-planifolia-tincture/
VANILLA TAHITENSIS FRUIT;"Vanilla; Tahitian Vanilla";Fruit pulp;;Enhances the smell of a product and / or perfumes the skin;plant;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";;;;;;https://cosmileeurope.eu/inci/detail/16818/vanilla-tahitensis-fruit/
VANILLA TAHITENSIS FRUIT EXTRACT;"Vanilla; Tahitian Vanilla";Fruit pulp;Extract (solvent extract);Maintains the skin in good condition;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/16819/vanilla-tahitensis-fruit-extract/
VANILLA TAHITENSIS SEED;"Vanilla; Tahitian Vanilla";Seeds (kernels);;Removes dental plaque or dirt from the skin surface through a grinding / polishing effect;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/16820/vanilla-tahitensis-seed/
EQUISETUM ARVENSE/GALIUM APARINE/VANILLA PLANIFOLIA FRUIT EXTRACT;"Field Horsetail

Goose Grass; Coachweed; Catchweed

Bourbon Vanilla; Mexican Vanilla; Vanilla";Fruit pulp;Extract (solvent extract);Maintains the skin in good condition;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/5274/equisetum-arvense-galium-aparine-vanilla-planifolia-fruit-extract/
ETHYL VANILLATE;;;;Part of perfume oils and / or flavours;;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";"""Ethyl"" refers mostly to ethanol (ethyl alcohol) as an alcoholic component or generally a hydrocarbon residue with 2 carbon atoms.";;;;;https://cosmileeurope.eu/inci/detail/25923/ethyl-vanillate/
HIEROCHLOE ODORATA;"Sweet Grass; Manna Grass, Mary’s Grass; Vanilla Grass";;;Maintains the skin in good condition;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/6482/hierochloe-odorata/
HIEROCHLOE ODORATA EXTRACT;"Sweet Grass; Manna Grass, Mary’s Grass; Vanilla Grass";;Extract (solvent extract);Enhances the smell of a product and / or perfumes the skin;Maintains the skin in good condition;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";plant;;;;;;https://cosmileeurope.eu/inci/detail/6483/hierochloe-odorata-extract/
LIATRIS ODORATISSIMA LEAF EXTRACT;"Deer's Tongue; Vanilla Plant";Leaves (or needles);Extract (solvent extract);Part of perfume oils and / or flavours;Maintains the skin in good condition;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";plant;;;;;;https://cosmileeurope.eu/inci/detail/8264/liatris-odoratissima-leaf-extract/
LIATRIS ODORATISSIMA LEAF OIL;"Deer's Tongue; Vanilla Plant";Leaves (or needles);Fat or essential oil;Part of perfume oils and / or flavours;plant;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";;;;;;https://cosmileeurope.eu/inci/detail/26304/liatris-odoratissima-leaf-oil/
METHYL VANILLATE;;;;Part of perfume oils and / or flavours;;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";"""Methyl"" mostly refers to methanol (methyl alcohol) as alcoholic component or generally the methyl group as the smallest hydrocarbon residue with one carbon atom. Dimethyl-, trimethyl- etc refer to two, three or more methyl groups.";;;;;https://cosmileeurope.eu/inci/detail/26436/methyl-vanillate/
JASMINE OIL/EXTRACT;;;;Enhances the smell of a product and / or perfumes the skin;;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";;Jasmine Oil or Extract;;;;https://cosmileeurope.eu/inci/detail/30716/jasmine-oil-extract/
ANDROSACE HELVETICA EXTRACT;Swiss Rock Jasmine;;Extract (solvent extract);Maintains the skin in good condition;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/21292/androsace-helvetica-extract/
ANDROSACE UMBELLATA EXTRACT;Umbelled Rock Jasmine;;Extract (solvent extract);Inhibits reactions promoted by oxygen, thus avoiding oxidation and deterioration of ingredients;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/1009/androsace-umbellata-extract/
ANGELICA SINENSIS LEAF/ARCTIUM LAPPA ROOT/JASMINUM OFFICINALE FLOWER EXTRACT;"(Great) Burdock; Burdock; Edible Burdock

(Common) Jasmine";"Leaves (or needles)

Roots

Flowers";Extract (solvent extract);Maintains the skin in good condition;plant;;;;;Perfumes, aftershaves, soaps, shower lotions, creams;;;https://cosmileeurope.eu/inci/detail/1046/angelica-sinensis-leaf-arctium-lappa-root-jasminum-officinale-flower-extract/
CHAMOMILLA RECUTITA FLOWER/JASMINUM OFFICINALE FLOWER EXTRACT;"Blue Chamomile; Common Chamomile; Matricaria

(Common) Jasmine";Flowers;Extract (solvent extract);Maintains the skin in good condition;plant;;Camomile has been considered since antiquity as a well-known medicinal plant. For cosmetic preparations different parts of the plant can be used, eg the flowers and the leaves, but also the essential oil of the entire plant. The plant extracts of the camomile have a soothing effect and relax the stressed or irritated skin, so that they are preferred in cosmetic products for sensitive, blemished or sun-stressed skin.;;;Perfumes, aftershaves, soaps, shower lotions, creams;Medicinal products and medical devices to ingest and / or inhale (eg teas) or for rubbing in (eg ointments);For the clarification of a suspicion of a contact allergy this substance can be routinely tested in the epicutaneous test at the dermatologist.;https://cosmileeurope.eu/inci/detail/21698/chamomilla-recutita-flower-jasminum-officinale-flower-extract/
CINNAMOMUM CASSIA BARK/(JASMINE/OSMANTHUS FRAGRANS) FLOWER/LYCIUM CHINENSE FRUIT EXTRACT;"Chinese Cassia Tree; (Chinese) Cinnamon

Cassia Flower; Cinnamon Flower; Sweet Osmanthus

Chinese Bockthorn; Chinese Wolfberry";"Bark

Flowers

Fruit pulp";Extract (solvent extract);Helps control the growth of micro-organisms (eg bacteria and fungi);Inhibits reactions promoted by oxygen, thus avoiding oxidation and deterioration of ingredients;Protects the skin from external influences;;;;;;;https://cosmileeurope.eu/inci/detail/27576/cinnamomum-cassia-bark-jasmine-osmanthus-fragrans-flower-lycium-chinense-fruit-extract/
HEDYCHIUM CORONARIUM FLOWER EXTRACT;"Butterfly Ginger; Butterfly Lily; Cinnamon Jasmine; White Ginger";Flowers;Extract (solvent extract);Maintains the skin in good condition;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/22003/hedychium-coronarium-flower-extract/
HEDYCHIUM CORONARIUM FLOWER WATER;"Butterfly Ginger; Butterfly Lily; Cinnamon Jasmine; White Ginger";Flowers;Steam distillate;Inhibits reactions promoted by oxygen, thus avoiding oxidation and deterioration of ingredients;Softens and smoothens the skin;Protects the skin from external influences;;;;;;;https://cosmileeurope.eu/inci/detail/30480/hedychium-coronarium-flower-water/
HEDYCHIUM CORONARIUM FLOWER/LEAF/STEM EXTRACT;"Butterfly Ginger; Butterfly Lily; Cinnamon Jasmine; White Ginger";"Flowers

Leaves (or needles)

Stems, stalks";Extract (solvent extract);Maintains the skin in good condition;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/6296/hedychium-coronarium-flower-leaf-stem-extract/
HEDYCHIUM CORONARIUM POWDER;"Butterfly Ginger; Butterfly Lily; Cinnamon Jasmine; White Ginger";;Powder (flour);Maintains the skin in good condition;plant;;;;;;;;https://cosmileeurope.eu/inci/detail/20469/hedychium-coronarium-powder/
